,title,url,experience,salary,location,skills,search_type
902,Microsoft Azure Analytics Services Application Developer,https://www.naukri.com/job-listings-microsoft-azure-analytics-services-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-230623906668,4-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Business process', 'Cloud', 'microsoft azure', 'Application development', 'Analytics', 'Microsoft', 'Analytics Services', 'Data']",Azure
903,Microsoft Azure Modern Data Platform Data Platform Engineer,https://www.naukri.com/job-listings-microsoft-azure-modern-data-platform-data-platform-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-240623904834,4-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Azure', 'PySpark', 'ADF pipeline', 'Databricks', 'Oracle ADF', 'Python', 'SCALA', 'Airflow']",Azure
904,Microsoft Azure Data Services Application Developer,https://www.naukri.com/job-listings-microsoft-azure-data-services-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-170623903578,4-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['NoSQL', 'RDBMS', 'Microsoft Azure', 'Middleware', 'SQL', 'Data Services', 'Azure Databricks', 'Development']",Azure
905,Microsoft Azure Architect,,4-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['NoSQL', 'RDBMS', 'Microsoft Azure', 'Azure Databricks', 'SQL', 'Data Pipeline', 'Azure Data Factory', 'Data Services']",Azure
906,Microsoft Azure Architect,,8-10 Yrs,Not disclosed,['Hyderabad/Secunderabad'],"['Change management', 'GIT', 'Incident management', 'JSON', 'Visual Studio', 'Development', 'PAAS', 'Visual']",Azure
907,Microsoft Azure Architect,,4-6 Yrs,Not disclosed,['Hyderabad/Secunderabad'],"['MS Excel', 'Data modeling', 'MySQL', 'SQL', 'Python', 'Program', 'Data', 'Data Governance']",Azure
908,Microsoft Azure Architect,,4-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Analytics', 'Data architecture', 'Business process', 'Analytical', 'SCALA', 'Azure Databricks', 'Spark', 'Pyspark']",Azure
909,Microsoft Azure Architect,,4-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Azure', 'PostgreSQL', 'Azure Database', 'Microsoft', 'Cosmos', 'Azure Data Lake', 'Azure Data Factory', 'Application development']",Azure
910,Microsoft Azure Data Services Application Developer,https://www.naukri.com/job-listings-microsoft-azure-data-services-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-170623903568,6-8 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Azure Data Factory', 'Azure', 'ADLS', 'Azure SQLdb', 'Azure Data bricks', 'Microsoft', 'Cloud Applications', 'PAAS']",Azure
911,Microsoft Azure IaaS Application Developer,https://www.naukri.com/job-listings-microsoft-azure-iaas-application-developer-accenture-solutions-pvt-ltd-hyderabad-secunderabad-8-to-10-years-200623904563,4-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['PowerShell', 'Azure', 'GIT', 'PAAS', 'IAAS', 'Data Services', 'Development', 'Application']",Azure
912,Microsoft Azure Data Services Data Platform Engineer,https://www.naukri.com/job-listings-microsoft-azure-data-services-data-platform-engineer-accenture-solutions-pvt-ltd-hyderabad-secunderabad-4-to-6-years-230623903519,6-8 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['GIT', 'Powershell', 'PAAS', 'IAAS', 'Azure DevOps', 'ARM Templates', 'Factory', 'Azure Data Factory']",Azure
913,Microsoft Azure Analytics Services Application Developer,https://www.naukri.com/job-listings-microsoft-azure-analytics-services-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-150623907431,4-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Data quality', 'Analytics', 'SQL', 'Coding', 'Python', 'Quality', 'Big Data', 'Cloud Platform']",Azure
914,Microsoft Azure Data Services Application Developer,https://www.naukri.com/job-listings-microsoft-azure-data-services-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-140623910918,4-6 Yrs,Not disclosed,['Kolkata'],"['Capacity management', 'IaaS', 'Windows Networking', 'Microsoft Azure', 'Networking', 'Antivirus', 'Management', 'Microsoft Windows']",Azure
915,Microsoft Azure Data Services Application Developer,https://www.naukri.com/job-listings-microsoft-azure-data-services-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-100623906138,4-8 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Agile', 'Framework', 'Support services', 'PAAS', 'Development', 'Project', 'Entity framework', 'Net Fullstack']",Azure
916,Microsoft Azure Data Services Application Developer,https://www.naukri.com/job-listings-microsoft-azure-data-services-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-100623903594,12-18 Yrs,Not disclosed,"['Hybrid - Hyderabad/Secunderabad', 'Pune', 'Maharashtra', 'Chennai', 'Bangalore/Bengaluru']","['azure functions', 'web apps', 'paas', 'microsoft azure', 'azure vm', 'Cloud Platforms', 'Functional', 'Architecture']",Azure
917,Microsoft Azure Data Services Application Developer,https://www.naukri.com/job-listings-microsoft-azure-data-services-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-090623907442,2-4 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Automation', 'Data migration', 'Powershell', 'JSON', 'microsoft', 'Azure Iaas', 'Migration', 'Operations']",Azure
918,Microsoft Azure Modern Data Platform Data Platform Engineer,https://www.naukri.com/job-listings-microsoft-azure-modern-data-platform-data-platform-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-210623908178,2-5 Yrs,Not disclosed,['Kolkata'],"['Azure Analytics', 'Azure HDInsight', 'Scala', 'big data', 'Data architecture', 'Team leading', 'Analytics Services', 'Development']",Azure
919,Microsoft Azure IaaS Application Developer,https://www.naukri.com/job-listings-microsoft-azure-iaas-application-developer-accenture-solutions-pvt-ltd-kolkata-4-to-6-years-120623905401,4-6 Yrs,Not disclosed,['Hyderabad/Secunderabad'],"['Azure Analytics', 'Scala', 'Azure Databricks', 'big data', 'Data architecture', 'Architecture', 'Development', 'Team']",Azure
920,Dot Net Full Stack Azure Developer,https://www.naukri.com/job-listings-dot-net-full-stack-azure-developer-dxc-technology-bangalore-bengaluru-4-to-8-years-220623500609,2-5 Yrs,Not disclosed,['Kolkata'],"['Microsoft Azure Analytics', 'Scala', 'PySpark', 'big data', 'Data architecture', 'Team leading', 'Analytics Services', 'Development']",Azure
921,Architect- Microsoft Azure,https://www.naukri.com/job-listings-architect-microsoft-azure-wipro-hyderabad-secunderabad-pune-maharashtra-chennai-bangalore-bengaluru-12-to-18-years-230523008282,4-6 Yrs,Not disclosed,['Hyderabad/Secunderabad'],"['Analytics', 'Data architecture', 'Business process', 'Analytical', 'SCALA', 'Azure Hdinsight', 'Process', 'Azure Analytics']",Azure
922,SAS Developer,https://www.naukri.com/job-listings-sas-developer-infosys-limited-hyderabad-secunderabad-3-to-8-years-230623903252,3-8 Yrs,Not disclosed,['Hyderabad/Secunderabad'],"['SAS development', 'Analytics', 'Base SAS', 'Development', 'Program', 'Data', 'SQL', 'Data analytics']",SAS
923,SAS Developer,https://www.naukri.com/job-listings-sas-developer-essenware-private-limted-pune-5-to-10-years-230623500417,5-10 Yrs,Not disclosed,['Pune'],"['Enterprise', 'Management', 'Development', 'Campaign management', 'XML', 'Base SAS', 'SAS Enterprise guide', 'Root cause analysis']",SAS
924,Data Analyst- SAS,https://www.naukri.com/job-listings-data-analyst-sas-eteam-bangalore-bengaluru-2-to-6-years-220623501019,2-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Agile', 'SAS SQL', 'Data analysis', 'Data Mapping', 'Scheduling', 'JIRA', 'Unix shell scripting', 'Tools']",SAS
925,SAS Developer,,2-5 Yrs,Not disclosed,"['Mysore/Mysuru', 'Pondicherry/Puducherry', 'Bangalore/Bengaluru']","['Clinical trials', 'Analytical', 'Program', 'DBMS', 'Data', 'Clinical', 'Analytics', 'Database design']",SAS
926,SAS Developer,,5-10 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['R Program', 'Programming', 'SAS Programming', 'Program', 'R', 'SAS', 'R programming']",SAS
927,SAS Developer,,4-9 Yrs,Not disclosed,"['Navi Mumbai', 'Mumbai (All Areas)']","['SAS', 'SAS Programming', 'Hiring', 'Enterprise Support', 'Macros', 'Enterprise', 'SQL', 'Oracle']",SAS
928,SAS Developer,,10-20 Yrs,19-34 Lacs PA,"['Bangalore/ Bengaluru', 'Karnataka']","['SAS Programming', 'Python', 'Data', 'SAS', 'Programming', 'Program', 'Microsoft Azure', 'Azure']",SAS
929,SAS Developer,,3-8 Yrs,Not disclosed,"['Hybrid - Pune', 'Maharashtra(Hadapsar)']","['SAS Admin', 'SAS Administration', 'Linux', 'Management', 'Scripting', 'Deployment', 'SAS Connect', 'Unix']",SAS
930,SAS Programmer,https://www.naukri.com/job-listings-sas-programmer-clario-mysore-mysuru-pondicherry-puducherry-bangalore-bengaluru-2-to-5-years-240623501077,4-9 Yrs,Not disclosed,['Remote'],"['SAS Macros', 'Clinical Sas', 'Base SAS', 'Program', 'SAS', 'Adams', 'Programming', 'Adam']",SAS
931,R programming SAS progammer,https://www.naukri.com/job-listings-r-programming-sas-progammer-acesoft-labs-bangalore-bengaluru-5-to-10-years-220623008945,2-6 Yrs,Not disclosed,['Mumbai (All Areas)'],"['Base SAS', 'SAS DI', 'DI', 'Va', 'Base', 'SAS Viya', 'SAS', 'Development']",SAS
932,Urgent Hiring For SAS Programmer || Banking Client,https://www.naukri.com/job-listings-urgent-hiring-for-sas-programmer-banking-client-acxiom-technologies-navi-mumbai-mumbai-all-areas-4-to-9-years-220623007593,2-5 Yrs,Not disclosed,"['Mumbai', 'Maharashtra', 'Navi Mumbai', 'Maharashtra']","['Advance Sas', 'SAS Enterprise guide', 'Base SAS', 'Development', 'SQL', 'Base', 'SAS', 'Enterprise']",SAS
933,Sas Programmer,https://www.naukri.com/job-listings-sas-programmer-artech-bangalore-bengaluru-karnataka-10-to-20-years-210623004728,5-10 Yrs,Not disclosed,['Mumbai'],"['SAS Enterprise Guide', 'SAS DI', 'Analytics', 'Web technologies', 'SAS Visual Analytics', 'SAS DI studio', 'SAS Web Report Studio', 'Studio']",SAS
934,SAS Administrator,https://www.naukri.com/job-listings-sas-administrator-sas-research-and-development-sas-r-d-pune-maharashtra-3-to-8-years-190623004371,10-12 Yrs,Not disclosed,['Chennai'],"['Clinical Sas', 'Program', 'SAS', 'Adams', 'Programming', 'Clinical SAS programming', 'Statistics', 'Adam']",SAS
935,Sas Programmer,https://www.naukri.com/job-listings-sas-programmer-icon-plc-bangalore-bengaluru-4-to-9-years-300323005621,3-8 Yrs,Not disclosed,['Pune'],"['SAS', 'Automation', 'VMware', 'Oracle', 'Python', 'Technical support', 'Networking', 'Administration']",SAS
936,SAS Developer,https://www.naukri.com/job-listings-sas-developer-ergo-technology-services-mumbai-all-areas-3-to-8-years-140623008529,5-7 Yrs,Not disclosed,['Mumbai'],"['Analytics', 'Compliance management', 'Process consulting', 'Operational risk', 'Analytical skills', 'IT GRC', 'Deployment', 'Process']",SAS
